,team_name,league,elo_rating,games,prev_elos
50,Manchester City,39,2161.08,90,"{1659886200: 2110.49, 1660399200: 2117.8799999999997, 1661095800: 2121.4399999999996, 1661608800: 2118.5199999999995, 1661970600: 2122.2899999999995, 1662222600: 2125.9499999999994, 1663414200: 2119.2999999999993, 1664715600: 2125.689999999999, 1665237600: 2130.289999999999, 1665934200: 2131.909999999999, 1666447200: 2123.819999999999, 1667043000: 2127.4199999999987, 1667660400: 2132.089999999999, 1668024000: 2133.6499999999987, 1668256200: 2138.929999999999, 1671739200: 2120.319999999999, 1672257600: 2126.619999999999, 1672498800: 2131.079999999999, 1672948800: 2121.909999999999, 1673195400: 2130.059999999999, 1673467200: 2136.259999999999, 1673699400: 2109.759999999999, 1674158400: 2098.299999999999, 1674396000: 2103.449999999999, 1674849600: 2105.729999999999, 1675614600: 2111.439999999999, 1676219400: 2099.379999999999, 1676489400: 2102.419999999999, 1676732400: 2118.079999999999, 1677346200: 2111.709999999999, 1677614400: 2117.329999999999, 1677933000: 2121.769999999999, 1678555800: 2127.229999999999, 1679161500: 2131.149999999999, 1680348600: 2136.9499999999994, 1680971400: 2144.9499999999994, 1681576200: 2149.4899999999993, 1682178300: 2150.7699999999995, 1682535600: 2153.2299999999996, 1682859600: 2161.0799999999995, 1683140400: 2165.6399999999994, 1683381600: 2167.9699999999993, 1684069200: 2168.5599999999995, 1684681200: 2173.3099999999995, 1684954800: 2174.7699999999995, 1685287800: 2171.2299999999996, 1685800800: 2157.3099999999995}"
40,Liverpool,39,2038.94,91,"{1659785400: 2147.5, 1660590000: 2140.66, 1661194800: 2132.56, 1661608800: 2116.54, 1661972400: 2120.36, 1662204600: 2123.33, 1664632800: 2116.64, 1665329400: 2109.5699999999997, 1665934200: 2099.2699999999995, 1666204200: 2107.3599999999997, 1666438200: 2109.18, 1667069100: 2092.3799999999997, 1667752200: 2073.45, 1668265200: 2083.43, 1671739200: 2085.18, 1672075800: 2078.8799999999997, 1672430400: 2087.2899999999995, 1672680600: 2089.7499999999995, 1673121600: 2069.2899999999995, 1673708400: 2060.6199999999994, 1673984700: 2042.1299999999994, 1674304200: 2047.1199999999994, 1674999000: 2041.7199999999993, 1675522800: 2032.1599999999994, 1676318400: 2005.7299999999993, 1676741400: 2007.9899999999993, 1677354300: 2026.4299999999994, 1677700800: 2022.6299999999994, 1678033800: 2026.5199999999995, 1678537800: 2041.5899999999995, 1680348600: 2025.7599999999995, 1680634800: 2017.7599999999995, 1681054200: 2017.1199999999994, 1681758000: 2015.1899999999994, 1682172000: 2024.5099999999993, 1682534700: 2025.8799999999992, 1682868600: 2033.3699999999992, 1683140400: 2037.5699999999993, 1683390600: 2040.6199999999992, 1684177200: 2044.7099999999991, 1684591200: 2051.829999999999, 1685287800: 2046.199999999999}"
42,Arsenal,39,2015.40,83,"{1659726000: 1944.24, 1660399200: 1960.8700000000001, 1661013000: 1967.47, 1661617800: 1982.54, 1661970600: 1985.7, 1662305400: 1988.26, 1663498800: 1972.29, 1664623800: 1988.21, 1665329400: 1999.05, 1665925200: 2009.35, 1666530000: 2014.98, 1667138400: 2009.92, 1667736000: 2014.51, 1668023100: 2026.29, 1668282300: 2003.1399999999999, 1672084800: 2010.1799999999998, 1672507800: 2013.4799999999998, 1672775100: 2029.2499999999998, 1673800200: 2025.2899999999997, 1674405000: 2040.9499999999998, 1674849600: 2046.3199999999997, 1675513800: 2040.6099999999997, 1676127600: 2023.5699999999997, 1676489400: 2017.6299999999997, 1676723400: 2001.9699999999996, 1677337200: 2013.2499999999995, 1677699900: 2021.4799999999996, 1677942000: 2023.8499999999995, 1678629600: 2025.5699999999995, 1679234400: 2042.2699999999995, 1680357600: 2045.8999999999996, 1681054200: 2049.1199999999994, 1681650000: 2051.0499999999993, 1682103600: 2046.4799999999993, 1682535600: 2037.7299999999993, 1683054000: 2029.8799999999994, 1683473400: 2034.1099999999994, 1684078200: 2052.1599999999994, 1684600200: 2024.6999999999994, 1685287800: 2009.6399999999994}"
33,Manchester United,39,2000.21,90,"{1659877200: 1843.21, 1660408200: 1818.3700000000001, 1661194800: 1790.5700000000002, 1661599800: 1822.6100000000001, 1662058800: 1843.19, 1662305400: 1865.8700000000001, 1664715600: 1897.8000000000002, 1665338400: 1888.5900000000001, 1665925200: 1908.91, 1666206900: 1906.73, 1666456200: 1921.17, 1667146500: 1925.92, 1667743200: 1930.69, 1668110400: 1912.68, 1668357000: 1919.38, 1671652800: 1928.8300000000002, 1672171200: 1935.9800000000002, 1672489800: 1944.2400000000002, 1672776000: 1950.5800000000002, 1673035200: 1955.45, 1673699400: 1958.55, 1674072000: 1970.01, 1674405000: 1967.04, 1674676800: 1961.67, 1674936000: 1975.8500000000001, 1675281600: 1977.3300000000002, 1675522800: 1981.63, 1675886400: 1984.5700000000002, 1676210400: 1976.65, 1676815200: 1985.5400000000002, 1677429000: 1993.2700000000002, 1677699900: 2003.1900000000003, 1678033800: 2007.3600000000004, 1678629600: 1992.2900000000004, 1679243400: 1984.5200000000004, 1680449400: 1992.0000000000005, 1680721200: 1980.1300000000006, 1680953400: 1985.6600000000005, 1681659000: 1988.7300000000005, 1682263800: 1995.8300000000004, 1682622900: 1997.8900000000003, 1682859600: 1998.0400000000004, 1683226800: 2003.7900000000004, 1683482400: 1995.1900000000005, 1683986400: 1982.5700000000006, 1684591200: 1987.9900000000007, 1685041200: 1993.6600000000008, 1685287800: 1999.9300000000007, 1685800800: 2003.9800000000007}"
34,Newcastle,39,1983.30,83,"{1659794400: 1897.2, 1660399200: 1914.8500000000001, 1661095800: 1916.7700000000002, 1661691600: 1919.6900000000003, 1661972400: 1917.2200000000003, 1662213600: 1914.2500000000002, 1663423200: 1910.2000000000003, 1664632800: 1904.7100000000003, 1665237600: 1923.2100000000003, 1665925200: 1931.8800000000003, 1666204200: 1934.0600000000004, 1666539000: 1937.5700000000004, 1667052000: 1951.4400000000003, 1667743200: 1957.7100000000003, 1668023100: 1968.7100000000003, 1668274200: 1963.5100000000002, 1671565500: 1970.6200000000001, 1672066800: 1973.88, 1672498800: 1991.7800000000002, 1672775100: 1983.8300000000002, 1673380800: 1987.7900000000002, 1673791200: 1992.9700000000003, 1674322200: 1997.8900000000003, 1674590400: 1994.3500000000004, 1675195200: 2000.1500000000003, 1675531800: 2002.3100000000004, 1676136600: 1994.6300000000003, 1676741400: 1989.1900000000003, 1677429000: 1970.7500000000002, 1677933000: 1960.8300000000002, 1678638600: 1955.3700000000001, 1679083200: 1959.23, 1680449400: 1965.46, 1680721200: 1977.33, 1680962400: 1990.76, 1681558200: 2001.24, 1682254800: 1984.56, 1682621100: 1995.46, 1682859600: 2003.57, 1683473400: 2005.87, 1683977400: 1987.82, 1684434600: 1982.06, 1684782000: 1993.4299999999998, 1685287800: 1985.2499999999998}"
66,Aston Villa,39,1943.73,79,"{1659794400: 1805.62, 1660390200: 1783.9299999999998, 1661004000: 1795.82, 1661691600: 1779.3799999999999, 1661970600: 1752.6399999999999, 1662222600: 1747.5099999999998, 1663354800: 1760.8099999999997, 1664724600: 1773.4799999999998, 1665428400: 1778.4299999999998, 1665925200: 1781.1, 1666290600: 1760.3999999999999, 1666530000: 1735.4499999999998, 1667052000: 1772.59, 1667743200: 1760.05, 1668110400: 1796.07, 1668348000: 1782.6799999999998, 1672075800: 1815.1899999999998, 1672581600: 1798.36, 1672862400: 1846.6699999999998, 1673640000: 1834.3899999999999, 1674313200: 1843.33, 1675522800: 1864.28, 1676219400: 1820.05, 1676723400: 1813.98, 1677337200: 1791.42, 1677942000: 1820.65, 1678629600: 1833.72, 1679151600: 1835.53, 1680366600: 1852.79, 1680633900: 1896.01, 1680962400: 1913.51, 1681558200: 1917.61, 1682172000: 1934.29, 1682448300: 1935.18, 1682859600: 1940.52, 1683381600: 1934.77, 1683986400: 1923.71, 1684591200: 1930.54, 1685287800: 1936.17}"
51,Brighton,39,1942.19,86,"{1659877200: 1857.5, 1660399200: 1882.34, 1661086800: 1878.5, 1661608800: 1909.35, 1661884200: 1913.99, 1662296400: 1903.17, 1664632800: 1910.3300000000002, 1665246600: 1917.4, 1665774000: 1906.2800000000002, 1666117800: 1890.88, 1666447200: 1877.43, 1667052000: 1870.24, 1667660400: 1907.83, 1668023100: 1914.6399999999999, 1668348000: 1937.79, 1672066800: 1921.53, 1672507800: 1931.36, 1672775100: 1915.59, 1673103600: 1927.6699999999998, 1673708400: 1940.9299999999998, 1674313200: 1959.4199999999998, 1674999000: 1957.1899999999998, 1675522800: 1966.7499999999998, 1676127600: 1968.7699999999998, 1676732400: 1966.0199999999998, 1677611700: 1951.3499999999997, 1677942000: 1954.9199999999996, 1678546800: 1961.2499999999995, 1678908600: 1956.7699999999995, 1680357600: 1960.0499999999995, 1680633900: 1955.9499999999996, 1680962400: 1966.4099999999996, 1681567200: 1957.9999999999995, 1682263800: 1968.4799999999996, 1682533800: 1966.4199999999996, 1682776800: 1943.6899999999996, 1683226800: 1952.7099999999996, 1683563400: 1961.3099999999995, 1684078200: 1927.5599999999995, 1684434600: 1955.0199999999995, 1684674000: 1943.6499999999996, 1684954800: 1946.2099999999996, 1685287800: 1949.7499999999995}"
55,Brentford,39,1941.31,80,"{1659877200: 1802.34, 1660408200: 1810.32, 1661004000: 1838.12, 1661608800: 1820.1699999999998, 1661884200: 1809.9299999999998, 1662213600: 1818.7299999999998, 1663498800: 1840.7499999999998, 1664632800: 1808.9199999999998, 1665237600: 1814.4099999999999, 1665774000: 1797.08, 1666204200: 1827.87, 1666530000: 1832.12, 1667052000: 1794.9799999999998, 1667660400: 1784.0599999999997, 1668256200: 1787.5699999999997, 1672057800: 1824.7999999999997, 1672429500: 1825.9899999999998, 1672680600: 1857.2099999999998, 1673112600: 1898.1299999999999, 1673717400: 1864.6999999999998, 1674396000: 1875.2599999999998, 1675522800: 1872.0999999999997, 1676127600: 1885.9599999999996, 1676732400: 1897.8399999999997, 1678132800: 1886.5699999999997, 1678546800: 1902.6599999999996, 1678908600: 1888.7399999999996, 1679151600: 1915.1799999999996, 1680357600: 1908.8199999999997, 1680721200: 1912.9199999999996, 1680962400: 1907.3899999999996, 1681567200: 1896.9099999999996, 1682172000: 1865.3799999999997, 1682534700: 1863.5999999999997, 1682776800: 1901.1999999999996, 1683390600: 1904.4099999999996, 1684069200: 1900.3199999999997, 1684582200: 1908.4099999999996, 1685287800: 1927.3899999999996}"
44,Burnley,40,1909.78,90,"{1659121200: 1713.86, 1659794400: 1741.6399999999999, 1660330800: 1732.29, 1660675500: 1709.04, 1661004000: 1698.28, 1661608800: 1685.99, 1661885100: 1728.31, 1662145200: 1742.19, 1663095600: 1741.93, 1663423200: 1742.5700000000002, 1664632800: 1753.4700000000003, 1664995500: 1746.8300000000002, 1665237600: 1733.5600000000002, 1665842400: 1749.0100000000002, 1666205100: 1767.0000000000002, 1666447200: 1762.7700000000002, 1666724400: 1789.1500000000003, 1667052000: 1796.3400000000004, 1667418300: 1801.3600000000004, 1667651400: 1806.1900000000003, 1668342600: 1774.0100000000002, 1670763600: 1790.9000000000003, 1671289200: 1815.0300000000004, 1671652800: 1826.9000000000003, 1672171200: 1812.6100000000004, 1672429500: 1823.2800000000004, 1672671600: 1836.2900000000004, 1673103600: 1850.3400000000004, 1673708400: 1878.1000000000004, 1674244800: 1882.6600000000003, 1675513800: 1889.9200000000003, 1676127600: 1910.4900000000002, 1676404800: 1912.9200000000003, 1676732400: 1904.5000000000002, 1677008700: 1911.5300000000002, 1677337200: 1907.6800000000003, 1677942000: 1909.5800000000004, 1678546800: 1902.2900000000004, 1678909500: 1903.6500000000003, 1679161500: 1910.5700000000004, 1680289200: 1904.7700000000004, 1680894000: 1896.6400000000003, 1681153200: 1913.1800000000003, 1681567200: 1920.0600000000004, 1681843500: 1912.8600000000004, 1682172000: 1906.2000000000003, 1682449200: 1886.7400000000002, 1682776800: 1897.6600000000003, 1683554400: 1907.4800000000002}"
47,Tottenham,39,1906.73,86,"{1659794400: 1959.29, 1660491000: 1963.48, 1660995000: 1967.6100000000001, 1661700600: 1970.0500000000002, 1661971500: 1983.7400000000002, 1662213600: 1980.9500000000003, 1663432200: 1984.3800000000003, 1664623800: 1989.2300000000002, 1665246600: 1978.3900000000003, 1665851400: 1989.5100000000002, 1666206900: 1993.7000000000003, 1666539000: 1979.2600000000002, 1667052000: 1965.3900000000003, 1667752200: 1972.5900000000004, 1668023100: 1962.6100000000004, 1668265200: 1942.6100000000004, 1672057800: 1945.4400000000003, 1672581600: 1944.8500000000004, 1672862400: 1920.6900000000003, 1673800200: 1940.6400000000003, 1674158400: 1924.9800000000002, 1674504000: 1919.8300000000002, 1674928800: 1931.7900000000002, 1675614600: 1938.9500000000003, 1676127600: 1951.0100000000002, 1676824200: 1932.4200000000003, 1677418200: 1937.8200000000004, 1677700500: 1947.8400000000004, 1677942000: 1935.4700000000005, 1678546800: 1924.0000000000005, 1679151600: 1928.6900000000005, 1680548400: 1925.6800000000005, 1680962400: 1922.2500000000005, 1681568100: 1930.6600000000005, 1682254800: 1914.0200000000004, 1682622900: 1903.1200000000003, 1682868600: 1902.9700000000003, 1683381600: 1898.7700000000002, 1683986400: 1909.5700000000002, 1684582200: 1902.7400000000002, 1685287800: 1883.7600000000002}"
36,Fulham,39,1853.89,93,"{1659785400: 1756.96, 1660399200: 1770.64, 1661004000: 1773.9, 1661617800: 1791.8500000000001, 1661884200: 1785.5300000000002, 1662213600: 1807.1600000000003, 1663354800: 1800.3100000000004, 1664632800: 1824.6700000000003, 1665320400: 1787.6600000000003, 1665842400: 1766.0400000000004, 1666290600: 1763.0700000000004, 1666530000: 1788.0200000000004, 1667061000: 1809.6100000000004, 1667660400: 1803.2300000000002, 1668357000: 1800.1100000000004, 1672066800: 1781.2200000000003, 1672498800: 1832.7300000000002, 1672775100: 1840.2000000000003, 1673103600: 1865.8500000000004, 1673553600: 1880.7400000000005, 1673791200: 1898.5500000000004, 1674504000: 1888.7000000000005, 1674918000: 1864.7900000000004, 1675454400: 1850.6300000000003, 1675885500: 1860.6800000000003, 1676127600: 1875.9400000000003, 1676732400: 1890.0200000000002, 1677268800: 1919.3700000000001, 1677613500: 1913.39, 1678132800: 1917.8100000000002, 1678629600: 1909.7600000000002, 1679243400: 1893.0600000000002, 1680357600: 1878.1000000000001, 1680962400: 1855.0200000000002, 1681567200: 1824.39, 1682163000: 1852.48, 1682448300: 1859.7, 1682859600: 1849.02, 1683140400: 1839.91, 1683554400: 1833.8000000000002, 1683986400: 1847.4300000000003, 1684591200: 1869.5600000000004, 1685287800: 1862.0000000000005}"
52,Crystal Palace,39,1829.55,83,"{1659726000: 1882.12, 1660590000: 1848.86, 1661004000: 1865.06, 1661608800: 1881.5, 1661884200: 1873.96, 1662213600: 1865.16, 1664632800: 1873.25, 1665320400: 1853.57, 1665833400: 1863.3, 1666120500: 1863.02, 1666447200: 1871.43, 1667052000: 1835.1200000000001, 1667743200: 1844.5900000000001, 1668023100: 1868.5800000000002, 1668265200: 1878.9800000000002, 1672066800: 1859.1600000000003, 1672498800: 1807.6500000000003, 1672862400: 1842.9200000000003, 1673094600: 1803.0200000000002, 1673791200: 1770.6600000000003, 1674072000: 1763.4500000000003, 1674322200: 1769.4000000000003, 1675522800: 1776.4800000000002, 1676127600: 1770.5900000000001, 1676732400: 1776.1000000000001, 1677354300: 1787.3700000000001, 1677942000: 1794.97, 1678555800: 1781.9, 1678908600: 1774.0600000000002, 1679234400: 1767.4900000000002, 1680357600: 1760.2400000000002, 1681045200: 1775.0000000000002, 1681567200: 1820.8900000000003, 1682172000: 1849.5500000000004, 1682447400: 1836.3500000000004, 1682767800: 1810.9900000000005, 1683381600: 1825.9600000000005, 1683986400: 1815.1600000000005, 1684591200: 1831.4200000000005, 1685287800: 1838.9800000000005}"
49,Chelsea,39,1820.68,88,"{1659803400: 2010.71, 1660491000: 2016.29, 1661086800: 2012.1599999999999, 1661608800: 1987.08, 1661885100: 1990.24, 1662213600: 1975.52, 1664632800: 1978.76, 1665237600: 1988.6, 1665925200: 1992.4699999999998, 1666204200: 2002.8199999999997, 1666456200: 2000.6999999999998, 1667052000: 1995.9499999999998, 1667736000: 1977.1599999999999, 1668024000: 1965.3799999999999, 1668274200: 1960.1, 1672162200: 1952.99, 1672590600: 1958.14, 1672948800: 1956.91, 1673195400: 1948.76, 1673553600: 1942.56, 1673791200: 1933.6499999999999, 1674304200: 1937.2599999999998, 1675454400: 1942.6599999999999, 1676118600: 1937.6299999999999, 1676732400: 1935.57, 1677418200: 1918.02, 1677942000: 1908.0, 1678546800: 1910.89, 1679160600: 1924.64, 1680366600: 1917.14, 1680634800: 1895.5300000000002, 1680962400: 1896.8100000000002, 1681567200: 1874.5200000000002, 1682534700: 1853.5700000000002, 1683054000: 1815.9700000000003, 1683381600: 1807.5100000000002, 1683986400: 1843.63, 1684681200: 1832.2700000000002, 1685041200: 1829.3400000000001, 1685287800: 1816.7900000000002}"
48,West Ham,39,1802.36,84,"{1659886200: 1816.12, 1660482000: 1801.35, 1661086800: 1788.31, 1661691600: 1757.46, 1661971500: 1784.2, 1662213600: 1789.78, 1663506900: 1783.31, 1664641800: 1767.4199999999998, 1665320400: 1787.36, 1665925200: 1808.9799999999998, 1666204200: 1807.8299999999997, 1666638000: 1804.1799999999996, 1667146500: 1824.3199999999997, 1667743200: 1814.7799999999997, 1668023100: 1790.7899999999997, 1668265200: 1779.2999999999997, 1672084800: 1746.7099999999998, 1672429500: 1740.12, 1672861500: 1708.8999999999999, 1673112600: 1715.6299999999999, 1673708400: 1749.06, 1674313200: 1733.96, 1675531800: 1749.53, 1676118600: 1764.8899999999999, 1676824200: 1769.02, 1677337200: 1758.22, 1677699900: 1786.32, 1677942000: 1777.98, 1678629600: 1765.32, 1680440400: 1763.51, 1680721200: 1776.03, 1680962400: 1749.16, 1681650000: 1779.7900000000002, 1682254800: 1788.9200000000003, 1682534700: 1836.6100000000004, 1682767800: 1821.6400000000003, 1683140400: 1806.6700000000003, 1683482400: 1802.0200000000002, 1684069200: 1827.2600000000002, 1684672200: 1811.0800000000002, 1685287800: 1823.14}"
62,Sheffield Utd,40,1801.24,102,"{1659380400: 1744.41, 1659794400: 1718.68, 1660244400: 1738.15, 1660482000: 1715.98, 1660762800: 1716.4, 1661004000: 1726.46, 1661540400: 1743.3700000000001, 1661885100: 1744.3200000000002, 1662300000: 1757.3300000000002, 1663094700: 1780.19, 1663423200: 1794.18, 1664632800: 1820.6000000000001, 1664909100: 1804.2900000000002, 1665237600: 1771.3200000000002, 1665842400: 1733.8000000000002, 1666205100: 1720.4800000000002, 1666447200: 1697.4000000000003, 1667043000: 1687.8100000000004, 1667332800: 1715.6200000000003, 1667651400: 1734.2100000000003, 1667936700: 1766.3900000000003, 1668265200: 1731.4500000000003, 1670684400: 1746.0900000000004, 1671480000: 1752.4700000000005, 1672066800: 1764.8500000000006, 1672344900: 1778.7000000000005, 1672689600: 1789.3700000000006, 1673103600: 1781.6400000000006, 1673708400: 1811.1200000000006, 1674243900: 1818.0700000000006, 1675513800: 1822.4000000000005, 1676127600: 1812.6600000000005, 1676491200: 1822.6800000000005, 1676723400: 1777.3800000000006, 1677337200: 1755.7300000000005, 1677700500: 1763.9100000000005, 1677933000: 1788.6500000000005, 1678219200: 1768.4400000000005, 1678546800: 1781.7700000000004, 1678910400: 1752.1900000000005, 1679227200: 1770.7400000000005, 1680357600: 1781.3500000000004, 1680876000: 1799.4900000000005, 1681153200: 1802.6600000000005, 1681558200: 1788.9000000000005, 1681843500: 1796.0900000000006, 1682178300: 1802.1400000000006, 1682535600: 1797.2200000000005, 1682776800: 1807.3100000000004, 1683225900: 1817.3900000000003, 1683554400: 1790.4700000000003}"
